code,descripcion,costo,precio1,precio2,precio3,precio4,precio5
77917171,MINYO TRIPLE ,29,0,0,0,0,0
77917188,LA GOTITA X UD,1061,0,0,0,0,0
77917263,TRIPLE OBVIO,"0,65",0,0,0,0,0
77917270,TRIPLE OBVIO,"0,65",0,0,0,0,0
77917317,HALLS VITA C FRUTILLA ,260,0,0,0,0,0
77917591,BAISHA,95,0,0,0,0,0
77917911,CHOCOLATE SIN AZUCAR ,320,0,0,0,0,0
77918055,LYM BOX MENTOL,"3,162",0,0,0,0,0
77918420,STOPY ,8,0,0,0,0,0
77918475,GRAN VALLE CORDOBES ,"1,3",0,0,0,0,0
77918482,MARLBORO BOX 20,1970,0,0,0,0,0
77918772,GRAN VALLE CORDOBES ,"1,15",0,0,0,0,0
77918802,LYM KS,"3,0225",0,0,0,0,0
77918994,LYM 100.S,"3,162",0,0,0,0,0
77919106,L  Y M BOX,"3,162",0,0,0,0,0
77919168,MILENIO GOLD,670,0,0,0,0,0
77919304,BARRITA DE ARROZ LULE MUU ,145,0,0,0,0,0
77919311,BARRITA DE ARROZ LULE MUU ,145,0,0,0,0,0
77919328,BARRITA DE ARROZ LULE MUU ,145,0,0,0,0,0
77919335,BARRITA DE ARROZ LULE MUU ,145,0,0,0,0,0
77919489,TOP LINE X UN.,"5,5",0,0,0,0,0
77920249,DERBY SUAVES 100,"22,98",0,0,0,0,0
77920386,LA NIRVA ,"0,6",0,0,0,0,0
77920416,WISTON ,30,0,0,0,0,0
77920423,VICEROY BOX,46,0,0,0,0,0
77920430,LA NIRVA TRIPLE,"2,6",0,0,0,0,0
77920539,MENTO-PLUS CEREZA X 12 UNI,"0,4",0,0,0,0,0
77920553,LA NIRVA TRIPLE,"2,6",0,0,0,0,0
77920676,MENTO-PLUS MENTA X 12 UNI,"0,4",0,0,0,0,0
77920713,VICEROY BOX 10,"2,85",0,0,0,0,0
77920966,NEXT KS 10,"1,023",0,0,0,0,0
77921222,PAULISTA NEGRO X 48 UNID X 9 GRS,"0,1173",0,0,0,0,0
77921239,PAULISTA LANCO X 48 X 9 GRS,"0,1173",0,0,0,0,0
77921574,MILKA MONT3 X30GR,"1,071",0,0,0,0,0
77921598,MILKA JOY X 30G,"2,5",0,0,0,0,0
77921604,MILKA JOY X 26G,"0,867",0,0,0,0,0
77921857,MENTHO PLUS LIMON ,"3,5",0,0,0,0,0
77921932,MILKA LECHE,"2,5",0,0,0,0,0
77922083,DELICIAS BROWNIE TERRABUSI ,"0,4",0,0,0,0,0
77922120,CHOCOLATE COFLER BLOCK X 110G,539,0,0,0,0,0
77922281,PASTILLA REFRESCO NARANJA U.,"0,64",0,0,0,0,0
77922601,FANTOCHE CHOCOLATE X 50 GR ,"4,2",0,0,0,0,0
77922649,GAME TRIPLE ,"2,3",0,0,0,0,0
77922656,MENTHOPLUS CHERRY,"8,5",0,0,0,0,0
77922663,MENTHO PLUS MENTOL,10,0,0,0,0,0
77922670,MENTHO PLUS STRONG,"6,5",0,0,0,0,0
77922687,MENTHOPLUS MIEL UN.,8,0,0,0,0,0
77922694,MENTHOPLUS MINT,8,0,0,0,0,0
77922748,GAME TRIPLE,"2,3",0,0,0,0,0
77923523,TURRON NEVARES XUD,86,0,0,0,0,0
77923769,PALL MALL BOX 20,"2,864",0,0,0,0,0
77923776,PALLMALL 110 S,"1,476",0,0,0,0,0
77924988,SPACE RAPPERS M POWER X 24 U,"0,441",0,0,0,0,0
77925626,ALFAJOR NEVARES BLANCO ,110,0,0,0,0,0
77925688,VICEROY BOX 16,"1,846",0,0,0,0,0
77925695,VICEROY  FIRE,"3,75",0,0,0,0,0
77925732,2 X 3 DE NEVARES,60,0,0,0,0,0
77925763,BON BON X 10 U. OBLITAS ,19,0,0,0,0,0
77925770,BON BON BLANCO X 10U.,25,0,0,0,0,0
77925916,VACA LATTE X25GR,"0,425",0,0,0,0,0
77926289,L Y M BLUE ,26,0,0,0,0,0
77926296,NEXT  KS ,"3,51",0,0,0,0,0
77926319,OBLEA ZUPAY X20U,"1,7",0,0,0,0,0
77926326,OBLEAS ZUPAY X20U,"1,7",0,0,0,0,0
77926333,L Y M GREEN LABEL ,"3,3",0,0,0,0,0
77926357,L Y M KS,99,0,0,0,0,0
77926371,L Y M BOX,65,0,0,0,0,0
77926616,PASTILLAS LA YAPA X 6.U.D,"1,6915",0,0,0,0,0
77926654,OBLEAS-FRIENDLY X14G,"0,55",0,0,0,0,0
77926777,NEXT BOX,"3,71",0,0,0,0,0
77926791,LYM BOX20,"45,5",0,0,0,0,0
77927361,VAUQUITA 22 GR.,33,0,0,0,0,0
77927392,TURRON DE MANI ARCOR,"1,15",0,0,0,0,0
77927606,LA YAPA X UD,"0,306",0,0,0,0,0
77927910,PALL MALL 10 ,"8,9",0,0,0,0,0
77927927,PALL MALL 10 ,"7,4",0,0,0,0,0
77927965,RED POINT BOX ,751,0,0,0,0,0
77927989,MENTHO PLUS ZERO,17,0,0,0,0,0
77928672,CREMIS ,"6,3",0,0,0,0,0
77928689,CREMIX ,24,0,0,0,0,0
77929174,TOPLINE ,"0,65",0,0,0,0,0
77929235,BANANITAS DOLCA  GRANDE,"1,8",0,0,0,0,0
77929518,CUBANITOS X 48 U.,45,0,0,0,0,0
77929525,CUBANITOS X 48 U.,45,0,0,0,0,0
77929648,OBLITA CUBANITOS X 48 U.,45,0,0,0,0,0
77929754,VICEROY 10,"3,15",0,0,0,0,0
77929891,PARLIAMENT,2140,0,0,0,0,0
77929976,BON BON FAN X 10 U.,"4,8",0,0,0,0,0
77929983,MENTHO PLUS  SNOW ,"3,5",0,0,0,0,0
77930002,BONOBON CLASICO X17G,"0,408",0,0,0,0,0
77930019,BONOBON BLANCO X17G,"0,408",0,0,0,0,0
77930026,BONOBON CHOCOLATE X 9 U.,"5,8",0,0,0,0,0
77930088,MERENKOA X UD,"1,0795",0,0,0,0,0
77930149,TOPLINE ,"0,9",0,0,0,0,0
77930194,DUNHILL ROJO,32,0,0,0,0,0
77930217,DUNHILL ,45,0,0,0,0,0
77931221,ALFAJOR RECOLETA X 72 GR,"8,5",0,0,0,0,0
77931276,OFF X 90 GR. EXTRA ,16,0,0,0,0,0
77931764,TOP LINE ,84,0,0,0,0,0
77931962,TOP LINE ,5,0,0,0,0,0
77932136,BARRA BON BON ,"1,8",0,0,0,0,0
77932303,BARRA BON OBON X UD,"1,99",0,0,0,0,0
77932693,TOP LINE SEVEN ,139,0,0,0,0,0
77933553,SENSATIONS ,4,0,0,0,0,0
77933560,SENSATIONS ,5,0,0,0,0,0
77933614,ALFAJOR DE ARROZ LULE MUU,71,0,0,0,0,0
77933898,CHOCOCEREAL SIN AZUCAR 25G,59,0,0,0,0,0
77933928,HALLS MENTA ,260,0,0,0,0,0
77934192,VICEROY 10 ,22,0,0,0,0,0
77934581,SER FRUTILLA Y CHOCOLATE X 4 U.,5,0,0,0,0,0
77935144,CEREAL MIX YOGHURT VAINILLA X28GR,5,0,0,0,0,0
77935274,CEREAL MIX YOGHURT FRUTILLA ,9,0,0,0,0,0
77935465,TOPLINE ,"1,8",0,0,0,0,0
77935731,IMPARCIALES 100,87,0,0,0,0,0
77935830,BISCUITS X 2 X 25 G,50,0,0,0,0,0
77935892,ALFAJOR DE ARROZ ,"2,8",0,0,0,0,0
77935915,ALFAJOR DE ARROZ ,3,0,0,0,0,0
77935922,POMADA WASSINGTON NEGRA,"0,47",0,0,0,0,0
77936134,TOPLINE ,"1,2",0,0,0,0,0
77936226,TOP LINE,"0,9",0,0,0,0,0
77936264,CEREAL SER ,4,0,0,0,0,0
77936271,CEREAL  SER X UD,3,0,0,0,0,0
77936288,CEREAL SER X 4 U.,5,0,0,0,0,0
77936431,PARISIENES 10,62,0,0,0,0,0
77939210,CHOCO ARROZ ,"2,8",0,0,0,0,0
77939227,ALFA ARROZ ,3,0,0,0,0,0
77939234,TERRABUSI CLASICO X50GS,334,0,0,0,0,0
77939241,TERRABUSI SIMPLE BCO X 24,"0,3",0,0,0,0,0
77939265,ALFA ARROZ ,3,0,0,0,0,0
77939357,DERBY 10 ,10,0,0,0,0,0
77939364,DERBY 10 ,"8,4",0,0,0,0,0
77939395,VICEROY ,"3,8",0,0,0,0,0
77939425,CHOCO CEREAL SIN AZUCAR X 4 U,45,0,0,0,0,0
77939531,VICEROY ,37,0,0,0,0,0
77939555,VICEROY BOX ,41,0,0,0,0,0
77939692,MENTOPLUS BLUEBERRY,2,0,0,0,0,0
77939708,MENTOPLUS MANDARINA,"2,4",0,0,0,0,0
77939715,MENTHO PLUS ,"5,2",0,0,0,0,0
77939753,TOPLINE SEVEN ,65,0,0,0,0,0
77939890,ANTITRANSPIRANTE PLUSBELLE BASIC,8,0,0,0,0,0
77939913,PLUSBELLE SOLT CARE ,"8,5",0,0,0,0,0
77939937,ANTITRASPIRANTE PLUSBELLE ,7,0,0,0,0,0
77939968,CHOCOMIO  X 35 GR.X 4 U.,"4,2",0,0,0,0,0
77940117,TOP LINE X UN.,"0,425",0,0,0,0,0
77940124,TOP LINE MANZANA+MENTA XUN.,"0,52",0,0,0,0,0
77940131,TURRON ARCOR X 25 GRS ,131,0,0,0,0,0
77940148,TURRON MISKY X25G,101,0,0,0,0,0
77940360,FLYN PAFF TERROR X10,"21,5",0,0,0,0,0
77940735,PHILIP MORRIS CAPS BOX,1770,0,0,0,0,0
77940810,HUEVO CONEJO BON BON X 50 GR.,70,0,0,0,0,0
77941015,MARLBORO ICE ,1780,0,0,0,0,0
77941022,VICEROY 10 ,"6,9",0,0,0,0,0
77941145,CONEJO X 110 GR.,130,0,0,0,0,0
77941152,CONEJO X 110 GR.,130,0,0,0,0,0
77941381,PALL MALL CLICK ON BOX ,"18,4",0,0,0,0,0
77941411,PALL MALL KOOL,130,0,0,0,0,0
77941558,MASTER ,645,0,0,0,0,0
77941596,TOP LINE UVA ,"1,5",0,0,0,0,0
77941695,CADBURI,3,0,0,0,0,0
77941732,TOPLINE SEVEN ,"4,6",0,0,0,0,0
77942098,PALL MALL ROJO CORTO,120,0,0,0,0,0
77942104,PALL MALL LARGO,131,0,0,0,0,0
77942111,JOCKEY ,43,0,0,0,0,0
77942128,PALL MALL SUAVE CORTO,130,0,0,0,0,0
77942135,PALL MALL SUAVE LARGO,131,0,0,0,0,0
77942142,JOCKEY SUAVE 10 ,59,0,0,0,0,0
77942289,REXONA ACTIVE,21,0,0,0,0,0
77942432,MINI ROCKLETS X10G,171,0,0,0,0,0
77942852,BARRA CINDOR ,"2,5",0,0,0,0,0
77942869,BARRA MOGUL ,"3,3",0,0,0,0,0
77942876,TOPLINE SEVEN ,5,0,0,0,0,0
77942883,TOPLINE SEVEN ,"4,6",0,0,0,0,0
77942920,LA RECOLETA ,"8,5",0,0,0,0,0
77942937,CONEJITO BON OBON X 50 GR.,27,0,0,0,0,0
77943019,REXONA MEN MINI,25,0,0,0,0,0
77943064,CEREAL SER,3,0,0,0,0,0
77944030,CEREAL MIX ARCOR X 4 U,5,0,0,0,0,0
77944191,ALF BON O BONTRIPLE X 60 GRS,"0,747",0,0,0,0,0
77944405,MENTHO PLUIS ACIDO ,145,0,0,0,0,0
77944412,MENTHO PLUS ACIDO ,310,0,0,0,0,0
77944740,CEREAL MIX X 4 U.,5,0,0,0,0,0
77945495,ALFAJOR DE ARROZ LULE MUU,71,0,0,0,0,0
77945501,GALLETA DE ARROZ BAÑADA LULE MUU,"47,28",0,0,0,0,0
77945624,COFLER EXTRA X 4 U.,60,0,0,0,0,0
77945815,OREO SIMPLE X 36U,"0,4774",0,0,0,0,0
77946096,LUCKY LIMON ,570,0,0,0,0,0
77946607,CONEJITO ROCKLETS X 55 GR.,70,0,0,0,0,0
77946690,KINDER ,32,0,0,0,0,0
77946805,MENTHO-PLUS-CHERRY-XUD,71,0,0,0,0,0
77946812,MENTHOPLUS ZERO,143,0,0,0,0,0
77946829,MENTHOPLUS ZERO,97,0,0,0,0,0
77946836,MENTHOPLUS ZERO,63,0,0,0,0,0
77947482,VAUQUITA MAICENA,27,0,0,0,0,0
77947550,MARLBORO FUSION BLAST,1780,0,0,0,0,0
77948496,TOP LINE ,85,0,0,0,0,0
77948533,PALL MALL MOJITO ,87,0,0,0,0,0
77948588,TOP LINE ,84,0,0,0,0,0
77948885,KINDER ,19,0,0,0,0,0
77948908,KINDER ,63,0,0,0,0,0
77949035,COFLER AI/BCO X 30 GRS X 20,"3,8",0,0,0,0,0
77949059,COFLER AI/COMBINADO X 30 GRS X 4 U.,15,0,0,0,0,0
77949080,COFLER AI/NEGRO X 30 GRS X 4 U.,15,0,0,0,0,0
77949134,TOP LINE GEL ,"2,9",0,0,0,0,0
77949417,TOFI  NEGRO 24 U X 28 GRS,"0,6676",0,0,0,0,0
77949493,CHOCOLATE TOFI BLCO  24 UNID X 27 GRS,"0,607",0,0,0,0,0
77949578,PALL MALL DAIQUIRI,87,0,0,0,0,0
77949677,KINDER X 4 U.BARRITA ,306,0,0,0,0,0
77949684,KINDER BARRITA,18,0,0,0,0,0
77949691,KINDER BARRITAS X 4 U.,17,0,0,0,0,0
77949707,BARRITAS X 8 U.,33,0,0,0,0,0
77949714,BARRITA KINDER X8,33,0,0,0,0,0
77949721,KINDER BARRITAS X 8 U.,34,0,0,0,0,0
77950031,CHOCOLATE BLOCK X 110.G.S,"2,71",0,0,0,0,0
77950529,L Y M FORWARD ,52,0,0,0,0,0
77950789,DUNHILL BOX ,160,0,0,0,0,0
77950802,TORTUGUITAS X 6 U. D.D.L.,10,0,0,0,0,0
77951113,TOPLINE SEVEN ,85,0,0,0,0,0
77951700,L Y M SUAVE CORTO,99,0,0,0,0,0
77951717,L Y M SUAVE LARGO ,104,0,0,0,0,0
77952110,TOP LINE,"3,2",0,0,0,0,0
77952127,OBLEA FIT X 16G,32,0,0,0,0,0
77952219,ROTHMANS BOX ,"29,5",0,0,0,0,0
77952233,ROTHMANS KS,39,0,0,0,0,0
77952455,MENTHO PLUS ACIDO,310,0,0,0,0,0
77953124,COFLER BLOCK X 38G,503,0,0,0,0,0
77953476,CHESTERFILD BOX ,1470,0,0,0,0,0
77953483,CHESTERFILD 10 ,750,0,0,0,0,0
77953513,CHESTERFILD KS,1150,0,0,0,0,0
77953537,BON O BON X 12 U.,65,0,0,0,0,0
77953957,CHESTERFILD FRESH BOX,1470,0,0,0,0,0
77953964,CHESTERFILD 10 FRESH,890,0,0,0,0,0
77954107,REXONA ,90,0,0,0,0,0
77954411,LIMU ,170,0,0,0,0,0
77954930,KINDER ,365,0,0,0,0,0
77954961,RHOTMAN 10,21,0,0,0,0,0
77955111,CAFE MENTHO PLUS ,17,0,0,0,0,0
77955272,ALF.SER UN.,"2,3",0,0,0,0,0
77955388,ROTHMANS RED KS,460,0,0,0,0,0
77955395,RHOTMANS LARGO,350,0,0,0,0,0
77955418,VICEROY 10,61,0,0,0,0,0
77955425,ROTHMANS MENTOLADO KS,150,0,0,0,0,0
77955432,VICEROY ROTHMANS 10,59,0,0,0,0,0
